id,title,poll_org,client_org,date_range,sample_size,url,source,nttId,classification,regionKey,municipality,electionType,electionTypes
15806,전국   정기(정례)조사 정당지지도 3월 4주차 주간집계,(주)리얼미터,전국단위 신문 : 에너지경제신문,2026-03-26 12:08 ~ 2026-03-27 18:25,전체,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=17933&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=12,출처: 중앙선거여론조사심의위원회,17933,"{'region': {'level': 'national', 'metro': None, 'metroKey': None, 'municipality': None}, 'electionTypes': ['party_support'], 'hasPartySupport': True, 'isRegularSurvey': True}",,,party_support,['party_support']
15805,경상남도 김해시    광역단체장선거 기초단체장선거 정당지지도,케이에스오아이 주식회사(한국사회여론연구소),방송사 : 경남CBS,2026-03-26 11:00 ~ 2026-03-27 21:15,전체,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=17929&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=12,출처: 중앙선거여론조사심의위원회,17929,"{'region': {'level': 'municipality', 'metro': '경상남도', 'metroKey': 'gyeongnam', 'municipality': '김해시'}, 'electionTypes': ['governor', 'mayor'], 'hasPartySupport': True, 'isRegularSurvey': False}",gyeongnam,김해시,governor,"['governor', 'mayor']"
15804,충청북도 충주시    기초단체장선거 정당지지도,(주)유앤미리서치,전국단위 신문 : 시사우리신문,2026-03-26 10:30 ~ 2026-03-27 21:30,전체,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=17932&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=13,출처: 중앙선거여론조사심의위원회,17932,"{'region': {'level': 'municipality', 'metro': '충청북도', 'metroKey': 'chungbuk', 'municipality': '충주시'}, 'electionTypes': ['mayor'], 'hasPartySupport': True, 'isRegularSurvey': False}",chungbuk,충주시,mayor,['mayor']
15803,인천광역시 미추홀구  제 2선거구  정당지지도 기초의원선거,(주)리얼미터,인터넷언론 : 텔레그래프코리아,2026-03-21 14:50 ~ 2026-03-22 21:15,전체,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=17931&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=13,출처: 중앙선거여론조사심의위원회,17931,"{'region': {'level': 'municipality', 'metro': '인천광역시', 'metroKey': 'incheon', 'municipality': '미추홀구'}, 'electionTypes': ['localCouncil'], 'hasPartySupport': True, 'isRegularSurvey': False}",incheon,미추홀구,localCouncil,['localCouncil']
15802,경기도 수원시    기초단체장선거 정당지지도,(주)디오피니언,시·도단위 신문 : 경인매일,2026-03-24 11:25 ~ 2026-03-25 14:20,전체,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=17928&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=13,출처: 중앙선거여론조사심의위원회,17928,"{'region': {'level': 'municipality', 'metro': '경기도', 'metroKey': 'gyeonggi', 'municipality': '수원시'}, 'electionTypes': ['mayor'], 'hasPartySupport': True, 'isRegularSurvey': False}",gyeonggi,수원시,mayor,['mayor']
15801,강원특별자치도 전체    광역단체장선거 정당지지도,여론조사공정(주),인터넷언론 : 더퍼블릭,2026-03-25 12:00 ~ 2026-03-26 21:10,전체,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=17927&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=13,출처: 중앙선거여론조사심의위원회,17927,"{'region': {'level': 'metro', 'metro': '강원특별자치도', 'metroKey': 'gangwon', 'municipality': None}, 'electionTypes': ['governor'], 'hasPartySupport': True, 'isRegularSurvey': False}",gangwon,,governor,['governor']
15800,전국   정기(정례)조사 정당지지도,한국갤럽조사연구소,조사기관 자체 : 한국갤럽 자체 조사,2026-03-24 10:00 ~ 2026-03-25 18:00,전체,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=17925&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=13,출처: 중앙선거여론조사심의위원회,17925,"{'region': {'level': 'national', 'metro': None, 'metroKey': None, 'municipality': None}, 'electionTypes': ['party_support'], 'hasPartySupport': True, 'isRegularSurvey': True}",,,party_support,['party_support']
15799,경기도 전체    광역단체장선거 정당지지도,(주)여론조사꽃,조사기관 자체 : (주)여론조사꽃,2026-03-24 13:20 ~ 2026-03-25 21:00,전체,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=17923&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=13,출처: 중앙선거여론조사심의위원회,17923,"{'region': {'level': 'metro', 'metro': '경기도', 'metroKey': 'gyeonggi', 'municipality': None}, 'electionTypes': ['governor'], 'hasPartySupport': True, 'isRegularSurvey': False}",gyeonggi,,governor,['governor']
15798,충청북도 영동군    기초단체장선거 정당지지도,KOPRA,개인 : 고성국TV,2026-03-23 16:20 ~ 2026-03-24 21:40,전체,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=17882&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=13,출처: 중앙선거여론조사심의위원회,17882,"{'region': {'level': 'municipality', 'metro': '충청북도', 'metroKey': 'chungbuk', 'municipality': '영동군'}, 'electionTypes': ['mayor'], 'hasPartySupport': True, 'isRegularSurvey': False}",chungbuk,영동군,mayor,['mayor']
15797,전국   정당지지도 정기(정례)조사,리서치웰,인터넷언론 : 뉴데일리,2026-03-25 13:00 ~ 2026-03-26 21:00,전체,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=17918&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=13,출처: 중앙선거여론조사심의위원회,17918,"{'region': {'level': 'national', 'metro': None, 'metroKey': None, 'municipality': None}, 'electionTypes': ['party_support'], 'hasPartySupport': True, 'isRegularSurvey': True}",,,party_support,['party_support']
